id	author_id	created_at	retweet_count	like_count	location	author_follower_count	text
1460753723785822211	24782816	Tue Nov 16 23:36:41 +0000 2021	0	0	Calgary, Alberta	5304	@DuncanGregoryB @punditclass Covid is a devilish virus. You are vulnerable to reinfection. Studies I've read suggest the vaccine is an excellent therapeutic. For us it was about weighing the odds.
1460753637966168064	3326758537	Tue Nov 16 23:36:21 +0000 2021	0	1	Edmonton, Alberta	342	@USMortality @megtirrell Meanwhile, Moderna's over here like 
1460753474489135105	12653722	Tue Nov 16 23:35:42 +0000 2021	3	5	Regina, Saskatchewan	68277	Current COVID-19 measures will likely stay in place for Christmas: Premier Moe 
1460753411276558340	42811690	Tue Nov 16 23:35:27 +0000 2021	0	0	Calgary, Canada	2279	And this is just USA - over 5 million people worldwide have died of COVID-19 💔    
1460753159379464199	7664572	Tue Nov 16 23:34:27 +0000 2021	0	0	Regina, SK	115	@PremierScottMoe First COVID, now this, great job Moe!
1460753069386260481	24782816	Tue Nov 16 23:34:05 +0000 2021	0	6	Calgary, Alberta	5304	@SChad71593015 @lamphieryeg We didn't realize it was Covid until antigen tests showed we had been previously infected. Medical conditions prompted an abundance of caution. That and I'm not getting any younger.
1460753044505726976	894849659163648000	Tue Nov 16 23:33:59 +0000 2021	0	2	🥀Regina, Saskatchewan🥀😷💉💉	1795	@PoagueAmy They seem to have lost my vaccination record so I’m even more restricted atm. Crazy times.
1460752663109267461	42836999	Tue Nov 16 23:32:29 +0000 2021	17	89	Edmonton	171791	Other jurisdictions are preparing actively for the approval of COVID-19 vaccine for kids.   Why isn’t Alberta? We’ve been asking for a rollout plan for weeks and have gotten nothing for the UCP.    #ableg #abhealth
1460752452228050945	822548812904460291	Tue Nov 16 23:31:38 +0000 2021	1	1	Medicine Hat, Alberta	3243	Hinshaw urges Albertans to stay vigilant against COVID-19 heading into winter  (The province has not yet updated its online reporting site. Those numbers will be added to this story when they are available)  #medhat #COVID19AB 
1460752274469367824	19000019	Tue Nov 16 23:30:56 +0000 2021	4	2	Saskatchewan	88606	COVID-19 in Sask.: 85 new cases, 1 new death 
